FOV_ID	ROI_ID	max_spotInt	ROI_Volume	ch01_C2__	ch02_C3__	ch03_C4__	ch04_C5__	maskFileName
1	255	1003929.51742552	77501	14	142	143	0	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #1med_cells.tiff
2	36	1707375.29806109	125099	14	142	143	0	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #2med_cells.tiff
2	73	1295407.3196488	118277	19	197	144	0	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #2med_cells.tiff
2	109	1061920.1730987	62406	19	197	144	0	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #2med_cells.tiff
2	146	1361497.47651248	89634	19	197	144	0	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #2med_cells.tiff
2	182	940558.484776949	57841	19	197	144	0	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #2med_cells.tiff
2	219	1677008.57045578	125225	9	186	138	0	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #2med_cells.tiff
2	255	1121837.97613308	53140	9	186	138	0	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #2med_cells.tiff
1	26	510833.663230369	19826	9	186	138	0	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #1med_cells.tiff
1	51	809307.149544325	62893	9	186	138	0	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #1med_cells.tiff
1	76	756612.204314409	48160	17	170	171	0	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #1med_cells.tiff
1	102	764436.706420889	79968	17	170	171	0	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #1med_cells.tiff
1	128	655398.932981111	63058	17	170	171	0	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #1med_cells.tiff
1	153	756887.170088125	78003	17	170	171	0	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #1med_cells.tiff
1	178	640824.472860529	84309	31	168	149	30	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #1med_cells.tiff
1	204	741517.520742851	98123	31	168	149	30	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #1med_cells.tiff
1	230	2006065.35324727	77715	31	168	149	30	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #1med_cells.tiff
1	255	763573.371053624	77501	31	168	149	30	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #1med_cells.tiff
2	36	696852.736400199	125099	21	123	156	17	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #2med_cells.tiff
2	73	826185.409222176	118277	21	123	156	17	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #2med_cells.tiff
2	109	598951.301015906	62406	21	123	156	17	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #2med_cells.tiff
2	146	746882.316326648	89634	21	123	156	17	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #2med_cells.tiff
2	182	703696.740925523	57841	6	110	109	24	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #2med_cells.tiff
2	219	672936.08861121	125225	6	110	109	24	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #2med_cells.tiff
2	255	900975.809151324	53140	6	110	109	24	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #2med_cells.tiff
1	26	0	19826	6	110	109	24	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #1med_cells.tiff
1	51	0	62893	24	311	126	129	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #1med_cells.tiff
1	76	0	48160	24	311	126	129	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #1med_cells.tiff
1	102	0	79968	24	311	126	129	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #1med_cells.tiff
1	128	0	63058	24	311	126	129	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #1med_cells.tiff
1	153	0	78003	6	117	93	26	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #1med_cells.tiff
1	178	0	84309	6	117	93	26	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #1med_cells.tiff
