FOV_ID	ROI_ID	num_spots	integrated_spotInt	max_spotInt	ROI_Volume	channel	fileName	maskFileName
1	153	197	74619911.3150165	1112109.3461517	78003	2	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C3-SlideF_Left_Control_State3 #1.loc4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #1med_cells.tiff
1	178	142	53627839.6430796	1214302.51596568	84309	2	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C3-SlideF_Left_Control_State3 #1.loc4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #1med_cells.tiff
1	204	197	73694390.1200797	848687.372745483	98123	2	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C3-SlideF_Left_Control_State3 #1.loc4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #1med_cells.tiff
1	230	186	66367336.9831426	989307.760360849	77715	2	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C3-SlideF_Left_Control_State3 #1.loc4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #1med_cells.tiff
1	255	170	62996784.9851915	1003929.51742552	77501	2	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C3-SlideF_Left_Control_State3 #1.loc4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #1med_cells.tiff
2	36	168	66448801.1541438	1707375.29806109	125099	2	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C3-SlideF_Left_Control_State3 #2.loc4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #2med_cells.tiff
2	73	123	47092643.1066917	1295407.3196488	118277	2	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C3-SlideF_Left_Control_State3 #2.loc4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #2med_cells.tiff
2	109	110	38366780.058221	1061920.1730987	62406	2	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C3-SlideF_Left_Control_State3 #2.loc4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #2med_cells.tiff
2	146	311	124643663.185729	1361497.47651248	89634	2	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C3-SlideF_Left_Control_State3 #2.loc4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #2med_cells.tiff
2	182	117	40026318.9392566	940558.484776949	57841	2	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C3-SlideF_Left_Control_State3 #2.loc4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #2med_cells.tiff
2	219	286	115849828.068296	1677008.57045578	125225	2	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C3-SlideF_Left_Control_State3 #2.loc4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #2med_cells.tiff
2	255	134	53486745.7635019	1121837.97613308	53140	2	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C3-SlideF_Left_Control_State3 #2.loc4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #2med_cells.tiff
1	26	33	9895340.30387519	510833.663230369	19826	3	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C4-SlideF_Left_Control_State3 #1.loc4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #1med_cells.tiff
1	51	140	49024526.1737904	809307.149544325	62893	3	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C4-SlideF_Left_Control_State3 #1.loc4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #1med_cells.tiff
1	76	75	26519901.0082706	756612.204314409	48160	3	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C4-SlideF_Left_Control_State3 #1.loc4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #1med_cells.tiff
1	102	180	66654732.1715043	764436.706420889	79968	3	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C4-SlideF_Left_Control_State3 #1.loc4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #1med_cells.tiff
1	128	125	44347846.9168978	655398.932981111	63058	3	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C4-SlideF_Left_Control_State3 #1.loc4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #1med_cells.tiff
1	153	157	53903838.9574161	756887.170088125	78003	3	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C4-SlideF_Left_Control_State3 #1.loc4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #1med_cells.tiff
1	178	143	46077276.2458607	640824.472860529	84309	3	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C4-SlideF_Left_Control_State3 #1.loc4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #1med_cells.tiff
1	204	144	51695214.8664113	741517.520742851	98123	3	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C4-SlideF_Left_Control_State3 #1.loc4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #1med_cells.tiff
1	230	138	45314806.4910908	2006065.35324727	77715	3	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C4-SlideF_Left_Control_State3 #1.loc4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #1med_cells.tiff
1	255	171	53986375.4156496	763573.371053624	77501	3	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C4-SlideF_Left_Control_State3 #1.loc4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #1med_cells.tiff
2	36	149	49849553.6668259	696852.736400199	125099	3	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C4-SlideF_Left_Control_State3 #2.loc4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #2med_cells.tiff
2	73	156	56677341.7470353	826185.409222176	118277	3	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C4-SlideF_Left_Control_State3 #2.loc4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #2med_cells.tiff
2	109	109	35512287.221785	598951.301015906	62406	3	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C4-SlideF_Left_Control_State3 #2.loc4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #2med_cells.tiff
2	146	126	41884764.1360659	746882.316326648	89634	3	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C4-SlideF_Left_Control_State3 #2.loc4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #2med_cells.tiff
2	182	93	28177100.1677426	703696.740925523	57841	3	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C4-SlideF_Left_Control_State3 #2.loc4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #2med_cells.tiff
2	219	126	40224230.7932673	672936.08861121	125225	3	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C4-SlideF_Left_Control_State3 #2.loc4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #2med_cells.tiff
2	255	78	24542901.920531	900975.809151324	53140	3	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C4-SlideF_Left_Control_State3 #2.loc4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #2med_cells.tiff
1	26	0	0	0	19826	4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C5-SlideF_Left_Control_State3 #1.loc4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #1med_cells.tiff
1	51	0	0	0	62893	4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C5-SlideF_Left_Control_State3 #1.loc4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #1med_cells.tiff
1	76	0	0	0	48160	4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C5-SlideF_Left_Control_State3 #1.loc4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #1med_cells.tiff
1	102	0	0	0	79968	4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C5-SlideF_Left_Control_State3 #1.loc4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #1med_cells.tiff
1	128	0	0	0	63058	4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C5-SlideF_Left_Control_State3 #1.loc4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #1med_cells.tiff
1	153	0	0	0	78003	4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C5-SlideF_Left_Control_State3 #1.loc4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #1med_cells.tiff
1	178	0	0	0	84309	4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C5-SlideF_Left_Control_State3 #1.loc4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #1med_cells.tiff
1	204	0	0	0	98123	4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C5-SlideF_Left_Control_State3 #1.loc4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #1med_cells.tiff
1	230	0	0	0	77715	4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C5-SlideF_Left_Control_State3 #1.loc4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #1med_cells.tiff
1	255	0	0	0	77501	4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C5-SlideF_Left_Control_State3 #1.loc4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #1med_cells.tiff
2	36	30	12390873.2552183	1030823.45995019	125099	4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C5-SlideF_Left_Control_State3 #2.loc4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #2med_cells.tiff
2	73	17	7176371.78031249	973064.598478211	118277	4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C5-SlideF_Left_Control_State3 #2.loc4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #2med_cells.tiff
2	109	24	11507899.0040064	2435822.16397118	62406	4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C5-SlideF_Left_Control_State3 #2.loc4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #2med_cells.tiff
2	146	129	69616140.3391574	1201119.38964778	89634	4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C5-SlideF_Left_Control_State3 #2.loc4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #2med_cells.tiff
2	182	26	13607415.8884654	1812604.38709131	57841	4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C5-SlideF_Left_Control_State3 #2.loc4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #2med_cells.tiff
2	219	102	50790727.8986348	1263530.98490213	125225	4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C5-SlideF_Left_Control_State3 #2.loc4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #2med_cells.tiff
2	255	26	11696402.8529421	1071091.17463799	53140	4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C5-SlideF_Left_Control_State3 #2.loc4	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #2med_cells.tiff
